tiempo,paso,n_part
10.027008,0.021,0
10.0470085,0.02,0
10.066009,0.019,0
10.087008,0.021,0
10.106009,0.019,0
10.126009,0.02,0
10.147009,0.021,0
10.167009,0.02,0
10.18701,0.02,0
10.20601,0.019,0
10.22601,0.02,0
10.24701,0.021,0
10.26601,0.019,0
10.286011,0.02,0
10.307011,0.021,0
10.326011,0.019,0
10.347011,0.021,0
10.366011,0.019,0
10.387011,0.021,0
10.406011,0.019,0
10.427011,0.021,0
10.44501,0.018,0
10.4670105,0.022,0
10.48501,0.018,0
10.505011,0.02,0
10.527011,0.022,0
10.544011,0.017,0
10.565011,0.021,0
10.5850115,0.02,0
10.605012,0.02,0
10.627012,0.022,0
10.646012,0.019,0
10.666013,0.02,0
10.687013,0.021,0
10.707013,0.02,0
10.727014,0.02,0
10.745013,0.018,0
10.764013,0.019,0
10.788013,0.024,0
10.806013,0.018,0
10.825013,0.019,0
10.846013,0.021,0
10.866014,0.02,0
10.886014,0.02,0
10.906014,0.02,0
10.926015,0.02,0
10.946015,0.02,0
10.965015,0.019,0
10.987016,0.022,0
11.006016,0.019,0
11.026016,0.02,0
11.045016,0.019,0
11.066016,0.021,0
11.085016,0.019,0
11.107017,0.022,0
11.125016,0.018,0
11.145017,0.02,0
11.165017,0.02,0
11.187017,0.022,0
11.205017,0.018,0
11.225018,0.02,0
11.247018,0.022,0
11.2650175,0.018,0
11.286017,0.021,0
11.307017,0.021,0
11.325017,0.018,0
11.345017,0.02,0
11.365018,0.02,0
11.385018,0.02,0
11.407019,0.022,0
11.428019,0.021,0
11.447019,0.019,0
11.465018,0.018,0
11.485019,0.02,0
11.506019,0.021,0
11.526019,0.02,0
11.54602,0.02,0
11.564019,0.018,0
11.5860195,0.022,0
11.60502,0.019,0
11.62502,0.02,0
11.64602,0.021,0
11.66702,0.021,0
11.68602,0.019,0
11.70602,0.02,0
11.72402,0.018,0
11.74802,0.024,0
11.76502,0.017,0
11.785021,0.02,0
11.806021,0.021,0
11.825021,0.019,0
11.847021,0.022,50
11.864021,0.017,50
11.885021,0.021,50
11.904021,0.019,50
11.925021,0.021,50
11.946021,0.021,50
11.965021,0.019,50
11.987021,0.022,50
12.007022,0.02,50
12.029022,0.022,50
12.048022,0.019,50
12.065022,0.017,50
12.085023,0.02,50
12.105023,0.02,50
12.125024,0.02,50
12.147024,0.022,50
12.165024,0.018,50
12.185024,0.02,50
12.205025,0.02,50
12.225025,0.02,50
12.245026,0.02,50
